Company,Mission
"Arrow Electronics, Inc","strives to foster and grow a diverse and inclusive environment that encourages an open exchange of ideas, where each individual is valued, respected and enabled to reach his or her potential. We firmly believe that embracing and learning from individual differences is a strength that will give Arrow a sustained, competitive advantage with customers and suppliers and enable innovation for Arrow’s continued success."
"Unified Grocers, Inc.","Successat Retail, Sustainability at Wholesale."
"Superior Energy Services, Inc.","Superior Energy Services offers drilling-related and production related solutions to energy producers. We provide a diverse set of products and services in select global markets that add value to our customers' operations with an emphasis on quality, integrity and safe operations."
Tupperware Brands Corporation,"Sustain Tupperware Brands' position as the premier, relationship-based, global marketer of quality, innovative products and brands.Inspire confidence in our associates, sales force, consumers and investors.Continue to literally change lives, especially women's, by enabling them to reach their full potential."
Symantec Corporation,"Symantec helps consumers and organizations secure and manage their information-driven world. Our software and services protect against more risks at more points, more completely and efficiently, enabling confidence wherever information is used or stored. "
Tenet Healthcare Corporation,"Tenet's name and logo reflect its core business philosophy the importance of shared values between partners in providing a full spectrum of quality, cost-efficient health care."
Textron Inc.,Textron is committed to responsible corporate citizenship and helping improve the quality of life in communities where our employees live and work.
A.O. Smith Corporation,"The A. O. Smith Foundation is committed to make our communities a better place to live and to work.  We achieve this by partnering with and supporting higher education, cultural and social welfare, medical research, and improved health services in the communities in which we operate.  At the same time, the Foundation encourages A. O. Smith employees around the world to live the company’s values through volunteerism and community involvement."
Teradata Corporation,The best data warehouse foundation and analytical solutions to enable customers to deliver on the promise of Active Enterprise Intelligence.
Exelis Inc.,"The capabilities provided by Exelis Night Vision and Communications Solutions deliver tactical equipment that meets the advanced needs of Department of Defense, Special Operations and First Responders around the world. Our technologies include Networked and Distributed Tactical Communication Systems, Night Vision Systems, and associated Engineering and Training services.??????????????????????????"
The Chubb Corporation,The Chubb mission is to provide excellent services to it's customers throughout their life.
"Dillard's, Inc.",The Company focuses on delivering maximum fashion and value to its shoppers by offering compelling apparel and home selections complemented by exceptional customer care.
"Asbury Automotive Group, Inc.","The Company was strategically built on the premise of starting with the best ingredients – the right brands, markets and dealers. It’s a solid foundation building on that foundation with a sound strategy and operating model will determine our success in the future. "
"United Continental Holdings, Inc.","The company’s mission is to create or rather establish the world’s leading airline. In order to accomplish this, the company has a vision which is to make the airline the best option for customers, to become the best option for employees to work for and lastly to become the best option for shareholders and investors to invest in."
Dean Foods Company,"The Company's primary objective is to maximize long-term stockholder value, while adhering to the laws of the jurisdictions in which it operates and at all times observing the highest ethical standards."
"Marriott International, Inc.","The core values established by the Marriott family over 80 years ago have served our company well and will continue to guide our growth into the future. Foremost of these core values is the enduring belief that our associates are our greatest assets. Core Values . There is a ""Marriott Way."" It's about serving the associates, the customer, and the community. Marriott's fundamental beliefs are enduring and the keys to its continued success. Marriott Culture . It's the Marriott experience. We do whatever it takes to provide our associates with the utmost opportunities and our customers with superior service."
"Fidelity National Information Services, Inc.","The goal of Fidelity Information Services (Fidelity), a division of Fidelity National Financial, is to be the premier worldwide provider of high quality, information-based solutions that not only meet the business needs of our clients today, but also help them plan for the future."
"Hasbro, Inc.","The heart of Hasbro's business is making great games, toys, lifestyle and entertainment products that are enjoyed by people of all ages worldwide. Hasbro intends to be the number-one company in the toy and game industry; the leading provider of play; and the number-one marketeer, pioneer and partner to all channels and all customers."
"The Home Depot, Inc.","The Home Depot is in the home improvement business and our goal is to provide the highest level of service, the broadest selection of products and the most competitive prices. We are a values-driven company and our eight core values include the following...  Excellent customer service , Taking care of our people,  Giving back,  Doing the ""right"" thing, Creating shareholder value, Respect for all people, Entrepreneurial spirit, Building strong relationships. "
Realogy Holdings Corporation,The integration of our company’s service offerings provides our business units with excellent cross-selling opportunities while enabling customers to enjoy the convenience of a single-source solution for all their real estate needs.
Union Pacific Corporation,"The Men and Women of Union Pacific Are Dedicated to Serve. Union Pacific works for the good of our customers, our shareholders and one another. Our commitment defines us and drives the economic strength of our company and our country."
Computer Sciences Corporation,The mission of CSC is to be a global leader in providing technology-enabled business solutions and services.
Joy Global Inc.,"The mission of Joy Global's EH&S Organization is to achieve excellence in environment, health and safety performance involving our employees and facilities worldwide. This is to be accomplished by: Communicating Joy Global's commitment to environment, health and safety performance throughout all its locations worldwide. A regular review of Joy Global's commitment to environment, health and safety processes and policies to assure continual improvement. Fostering the development of processes and policies that will provide for safe and environmentally sound operations at all locations worldwide. Adopting uniform measures to track environment, health and safety performance against objectives.Aligning the environment, health and safety goals and objectives with our overall business strategy."
American Express Company,"The mission of our program is to bring to life the American Express value of good corporate citizenship by supporting diverse communities in ways that enhance the company""s reputation with employees, customers, business partners and other stakeholders. We do this by supporting visionary not-for-profit organizations that are: Preserving and enriching our diverse cultural heritage."
Pfizer Inc.,"The mission of Pfizer's office of Independent Grants for Learning & Change (IGL&C), formerly Medical Education Group (MEG), is to partner with the global healthcare community to improve patient outcomes in areas of mutual interest though support of measurable learning and change strategies."
Ralph Lauren Corporation,"The mission of Ralph Lauren is to provide quality products, bringing different worlds together and inviting people into they're dream and vision. They are the true innovators of lifestyle advertisements that tell a story and the first to create stores that encourage customer participation in that lifestyle."
Snap-on Incorporated,The most valued productivity solutions in the world.
Mutual of Omaha Insurance Company,The Mutual of Omaha Foundation believes the best way to accomplish its mission to break the cycle of poverty is by investing in programs and organizations that demonstrate impact with specific outcomes.
The New York Times Company,"The New York Times's core purpose is to enhance society by creating, collecting and distributing high-quality news, information and entertainment."
"Paychex, Inc.",The Power of a Good Idea.
Plexus Corp.,"The Product Realization Company is to provide a complete menu of value-added design and manufacturing services from which our customers can choose, giving them a competitive advantage in time to market, technology, flexibility and total cost. "
"ConAgra Foods, Inc.","The reality is that millions of children are vulnerable to experiencing hunger throughout the year. People don’t see it and some have a hard time believing it exists right here, in our own country. But we know the negative impact of hunger on a child’s future and understand it will take more than food to fight hunger!"
"US Airways Group, Inc.","The safety and satisfaction of our customers is a top priority for our airline. Customers First is the result of a joint effort of the airline industry, the US Congress, and the US Department of Transportation to address the key service elements that affect our customers."
"Stanley Black & Decker, Inc.","The Stanley Fulfillment System (SFS) is our way of business. It's more than manufacturing or operational efficiency. It's a mindset, innovating how all work gets done and how we deliver value to the customer. An integral part of the culture, SFS encompasses and continually improves all of our business processes. It synchronizes the front end of the business with an ever-improving supply chain. It drives all practices toward best practices. It's how we generate capital from acquired assets to fuel further diversification and expansion."
The Valspar Corporation,"The Valspar Corporation's mission is to be the best coatings company in the world as judged by our customers, shareholders, employees, suppliers and the communities in which we operate."
"Donaldson Company, Inc.","Three key words convey our mission: improve, enhance and protect. These are powerful words and they help us set our priorities for the future. We provide our Customers with solutions that improve people’s lives, enhance equipment performance and protect the environment. "
Biogen Idec Inc.,"Through cutting-edge science and medicine, Biogen Idec discovers, develops and delivers to patients worldwide innovative therapies for the treatment of neurodegenerative diseases, hemophilia, and auto-immunity."
"Energizer Holdings, Inc.","Through innovation, we simplify and enhance the lives of customers and consumers better than anyone else."
RadioShack Corporation,"Through its convenient and comfortable neighborhood stores, knowledgeable sales associates help customers get the most out of their technology products."
Sigma-Aldrich Corporation,"Through our strong foundation and proven track record of success, enhanced by innovation and the development of new technologies, Sigma-Aldrich® is committed to being the preferred partner for our customers’ research and fine chemical needs."
Liberty Mutual Holding Company Inc.,"Throughout the world, each of our businesses operates in a manner consistent with an enduring mission and clearly defined, non-negotiable, principles.  1. We behave with integrity. 2. We treat people with dignity and respect. 3. We attract, develop and engage talent. 4.  We deliver an exceptional customer experience. 5. We continuously improve and innovate. 6. We execute thoroughly and seek excellence.  "
"Bio-Rad Laboratories, Inc.",To accelerate the scientific discovery process by providing products and tools to researchers.
Hubbell Incorporated,"To achieve a culture of environmental responsibility with our employees, customers, suppliers, communities and industries by implementing educational programs and sustainable practices."
"C.R. Bard, Inc.","To advance the delivery of Healthcare by profitably developing, manufacturing and marketing value-driven products which meet the quality, integrity, service, and innovation expectations of our customers while providing opportunities for our employees. As a result, we will optimize shareholder value and be a respected worldwide health care company."
"Northwestern Mutual Life Insurance Company,Inc.",To attract and develop highly motivated individuals committed to building a financial services practice as well as to provide representatives with a network of services and specialists to assist their clients in achieving their financial goals.
Swift Transportation Company,"To attract and retain customers by providing Best in Class transportation solutions and fostering a profitable, disciplined culture of safety, service, and trust."
Seaboard Corporation,"To be a diversified group of bulk truckload carriers, provides transportation systems and services for its customers through safe, reliable and professional performance."
Northern Trust Corporation,"To be a global leader in delivering innovative investment management, asset and fund administration, fiduciary and banking solutions to corporations, institutions and affluent individuals."
EMC Corporation,"To be a global provider of outstanding, end-to-end integrated solutions in transmission lines, sub- stations, industrial power distribution projects and railway infrastructure projects through best-in-class technology, supported by experienced professionals, thereby enhancing scalability, providing clean energy, expanding business and empowering lives. "
CACI International Inc.,"To be a leader in providing the information solutions and services America needs to defeat global terrorism, secure our homeland and improve government services. We are ever vigilant in aligning our solutions with the nation's highest priorities."
"Hyster-Yale Materials Handling, Inc.","To be a leading globally integrated designer, manufacturer and marketer of  a complete range of high quality, application-tailored lift trucks, offering the lowest cost of  ownership, outstanding parts and service support and the best overall value."
Rexnord Corporation,"To be a leading marketer and world class manufacturer of power transmission, aerospace, and specialty components, products & systems and provide superior growth and command sustainable competitive advantage. "
"Dominion Resources, Inc.","To be a leading provider of electricity, natural gas and related services to customers in the energy-intensive Midwest, Mid-Atlantic and Northeast regions of the U.S., a potential market of 50 million homes and businesses where 40 percent of the nation’s energy is consumed."
The Toro Company,"To be a leading worldwide provider of outdoor landscaping products, services, and integrating system. Also to explore new opportunities that build revenue growth and sustainability using our core compitencies to gain the leading market position. "
"Rush Enterprises, Inc.","To be a premier provider of quality products and services to commercial equipment users. We are customer-focused, people-oriented, and financially motivated to deliver excellent outcomes for customers, shareholders, vendors and our people."
Devon Energy Corporation,"To be a results oriented oil and gas company that builds value for its shareholders through its employees by creating an atmosphere of optimism, teamwork, creativity, resourcefulness and by dealing with everyone in an open and ethical manner."
"Michaels Stores, Inc.","To be a world class performer that inspires and enables consumers to experience creativity and to lead industry growth and innovation, while creating a fun and rewarding place to work that fosters meaningful connections with our communities."
"AutoNation, Inc.","To be America's best run, most profitable automotive retailer."
Equity Residential,"To be Americas choice for apartment living by being uncompromising in delivering on our commitments to our shareholders, our residents and our employees. "
Ingram Micro Inc.,"To be an indispensable business partner – the most valued bridge between our vendors and customers. Measurably contribute to the growth and profitability of our customers – both vendors and resellers  in a manner that is difficult to replicate or substitute. For vendors, create value through efficiency, demand generation, and access to markets and customers. For resellers, provide unique offerings that create sales and profit opportunities, including valuable vendor relationships, sales programs, access to credit, and training and development."
IAC/InterActiveCorp,"To be an internet company mastering expertise in online advertising, content distribution and monetization across the web."
"Church & Dwight Co., Inc.",To be in the top quarter of American businesses.
BlueLinx Holdings Inc.,To be leaders delivering value and global solutions through continuous innovation and exceptional service.
Sprint Nextel Corporation,"To be No. 1 in providing a simple, instant, enriching and productive customer experience."
"Kraft Foods Group, Inc.","To be North America's best food and beverage company, and we'll get there by continuing to offer products consumers love, creating a performance-based culture that motivates and excites employees and becoming the best investment in the industry."
KeyCorp,To be our client's trusted advisor.
"SunTrust Banks, Inc.",To be recognized as being among the best financial service providers in developing a diverse employee base that successfully meets the needs of our clients within our designated geographies.
"CenturyLink, Inc.",To be recognized as the first choice to serve the total communications needs of our communities.
"Dick's Sporting Goods, Inc.",To be recognized by our customers as a #1sports fitness specialty omni channel retailerthat serves and inspires athlete and outdoor enthusiasts to achieve their personal best.
"Big Lots, Inc.",To be the best at saving our customers money by creating excitement with brand name closeouts and bargains though a unique shopping experience.
Albemarle Corporation,To be the best performing specialty chemical company by all metrics and standards.
"MWI Veterinary Supply, Inc.","To be the best resource to the veterinary profession by delivering superior value, efficiency, and innovation. "
The Allstate Corporation,To be the best serving our customers by providing peace of mind and enriching their quality of life through our partnership in the management of the risks they face.
Zale Corporation,To be the best specialty retailer in North America. Our goal is to develop and maximize the finest collection of jewelry brands in order to build lasting customer relationships that will generate solid returns for our shareholders.
"O'Reilly Automotive, Inc.","To be the dominant supplier of auto parts in our market areas by offering our retail customers, professional installers, and jobbers the best combination of price and quality provided with the highest possible service level."
TRW Automotive Holdings Corp.,To be the Global Leader in Automotive Safety Systems.
"Applied Materials, Inc.","To be the global leader in nanomanufacturing technology solutions for the electronics industry, through differentiated and innovative system, service and software products, providing our customers a trusted path to superior results."
HealthSouth Corporation,"To be the healthcare company of choice for patients, employees, physicians and shareholders by providing high quality care in the communities we serve."
"Fred's, Inc.","To be the hometown discount store that provides a fast, fun and friendly low-price place to shop!"
"Lender Processing Services, Inc.","To be the industry's leading provider of comprehensive, end-to-end, integrated technology and services to the mortgage and real estate industries."
Reynolds American Inc.,To be the innovative tobacco company totally committed to building value through responsible growth.
Tech Data Corporation,"To be the IT distributor of choice for our customers and business partners, thus enabling our shareholders to prosper. "
MGM Resorts International,"To be the leader in entertainment & hospitality. A diverse collection of extraordinary people, distinctive brands and best in class destinations."
"Acuity Brands, Inc.","To be the leader in providing innovative, technologically-advanced and sustainable lighting products and lighting-related solutions. "
"Applied Industrial Technologies, Inc.","To be the leader in the supply and service of mechanical, technical solutions in Canada. We provide quality products and service in the pursuit of profitable and responsible commercial success of our customers and our business. Applied Industrial Technologies  is committed to a safe, respectable and productive workplace where employees are trained and given the opportunity to develop within the company.       "
"Coach, Inc.","To be the leading brand of quality lifestyle accessories offering classic, modern American styling."
Kohl's Corporation,"To be the leading family-focused, value-oriented, specialty department store offering quality exclusive and national brand merchandise to the customer in an environment that is convenient, friendly and exciting."
CIT Group Inc.,"To be the leading global finance company, driving economic growth and creating opportunities for businesses and people around the world. Building on a century of experience, we provide innovative financial solutions and services-bringing knowledge, expertise and creativity to every client relationship. "
"Foot Locker, Inc.",To be the leading global retailer of athletically inspired shoes and apparel.
Unum Group,To be the leading provider of employee benefits products and services that help employers manage their businesses and employees protect their families and livelihoods.
American Family Ins. Group,To be the most trusted and valued service-driven insurance company.
The Charles Schwab Corporation,To be the most useful and ethical financial services firm in the world.
The Goodyear Tire & Rubber Company,To be the number one tire company by all measures.
"Beacon Roofing Supply, Inc.","To be the preferred North American supplier of roofing and exterior building materials by adding value to our customers' businesses, employees' careers, to our investors' assets."
Molex Incorporated,"To be the preferred supplier of interconnection systems to the global electronics industry and grow market share through superior people, performance, and innovation."
"Alliance One International, Inc.",To be the preferred supplier of quality tobacco products and innovative solutions to the world's manufacturers and marketers of tobacco products. 
"Triumph Group, Inc.","To be the premier aerospace and defense company recognized by customers as their supplier of choice for the aerospace structures, components and assemblies we provide."
"Assurant, Inc.",To be the premier provider of targeted specialized insurance products and related services in North America and selected other markets.
Ball Corporation,To be the premier provider to our packaging and aerospace and technologies customers of the products and services that we offer as we aggressively manage our business.
"Publix Super Markets, Inc.","To be the premier quality food retailer in the world. To that end we commit to be: Passionately focused on Customer Value; Intolerant of Waste; Dedicated to the Dignity, Value and Employment Security of our Associates; Devoted to the highest standards of stewardship for our Stockholders; and Involved as Responsible Citizens in our Communities."
Ingredion Incorporated,"To be the premier regional provider of refined, agriculturally based products and ingredients worldwide."
DaVita HealthCare Partners Inc.,"To be the Provider, Partner and Employer of Choice."
ManpowerGroup Inc.,To be the trusted advisors for Clients by providing them with the expert professional Talent that enables them to take advantage of business opportunity. Be the trusted advocate for our Professionals by providing them with the right career opportunities and personalized and efficient support.
"Amkor Technology, Inc.",To be the trusted global provider of reliable assembly and test manufacturing services and innovative solutions to semiconductor and microelectronics companies using advanced technology developed through close collaboration with our customers and other supply chain partners.
"Toys ""R"" Us, Inc.","To be the World’s Greatest Kids’ Brand, we not only offer parents and families a broad selection of products to create magical playtime memories along with everyday essentials, but we provide the resources necessary to keep their kids safe. This is a core value at the forefront of all we do."
Tiffany & Co.,"To be the world’s most respected and successful designer, manufacturer and retailer of the finest jewelry."
"Analog Devices, Inc.",To be the world's best signal processing company.
State Street Corporation,"To be the world's leading provider of financial services to institutional investors. Our broad and integrated range of services spans the entire investment spectrum, including research, investment management, trading services and investment servicing."
"PepsiCo, Inc.","To be the world's premier consumer products company focused on convenient foods and beverages. We seek to produce financial rewards to investors even as we provide opportunities for growth and enrichment to our employees, our business partners and the communities in which we operate. And in everything we do, we strive for honesty, fairness and integrity."
"Henry Schein, Inc.",To be the worldwide leader in providing the best quality and value in products and services for our healthcare customers.
The Brink's Company,To be the worldwide leader in Secure Logistics Solutions.
"Itron, Inc.",To be world-leading technology and services company dedicated to the resourceful use of energy and water.
United Stationers Inc.,To become a high-performance organization delivering exceptional value through superior execution of innovative marketing and logistics services.
Genesco Inc.,"To become the most customer-focused company in the footwear industry, with consistent performance in the top quartile as measured by market share, sales growth, return on assets employed and operating income."
"Groupon, Inc.","To become the world's commerce operating system. By connecting buyers and sellers through price and discovery, we have the opportunity to become one of the world's essential companies, a daily habit for our customers and merchant partners."
"Arch Coal, Inc.",To being a market-driven global leader in the coal industry and to creating superior long-term shareholder value.
Exxon Mobil Corporation,"To being the world's premier petroleum and petrochemical company. To that end, we must continuously achieve superior financial and operating results while adhering to the highest standards of business conduct. These unwavering expectations provide the foundation for our commitments to those with whom we interact."
JetBlue Airways Corporation,To bring humanity back to air travel. These four statements read as follows ->  1. High Quality Service and Product. 2. Low Operating Costs. 3. Brand Strength. 4. Strength of Our People.
"Nike, Inc.",To bring inspiration and innovation to every athlete in the world.
Del Monte Corporation,"To bring to life health and wellness -> 1.We live up to our heritage of growing premium quality food and beverage brands which are the top choice of all generations for enjoyable and healthy living. 2.We leverage deep market knowledge coupled with technology and innovation to create and deliver relevant health and wellness breakthroughs to our broad base of customers. 3.We continuously build on our knowledge and experience in agriculture, while enhancing the sustainability of the lands we cultivate. 4.We adhere to the highest standards of corporate behavior in our relationships with our employees, business partners, and the communities around us. 5.We are a benchmark in corporate social responsibility and the preservation of the environment. 6.We build a highly energized, high-performance organization with a strong commitment to teamwork and to embracing better ways of doing things. 7.We value our people and commit to provide opportunities for learning, professional growth and a better quality of life."
Curtiss-Wright Corporation,To build a partnership with our customers by providing solutions that have profound impact and enable them to achieve their core objectives.
Fluor Corporation,To build and sustain the global community and build value for our stakeholders.
"The Williams Companies, Inc.","To build careers worth having, businesses worth owning, and lives worth living."
"Autodesk, Inc.",To build software tools to enable people to experience their ideas before they are real. 
"PulteGroup, Inc.","To build the best house for the money, in the right location and delight the customer by exceeding their expectations with the entire home buying experience."
CSX Corporation,To capitalize on the efficiency of rail transportation to serve America.
Aflac Incorporated,To combine aggressive strategic marketing with quality products and services at competitive prices to provide the best insurance value for consumers.
"Level 3 Communications, Inc.","To combine innovative people, processes and technologies to move information as efficiently as possible."
"Stericycle, Inc.","To combine integrated solutions with superior customer service to promote safety, compliance and risk management for our customers."
YRC Worldwide Inc.,"To connect people, places, goods and information around the world."
"McCormick & Company, Incorporated","To consistently provide premium quality spices, seasonings, flavourings and specialty foods which offer our consumers and customers superior meal solutions."
The Dow Chemical Company,To constantly improve what is essential to human progress by mastering science and technology.
SunGard Data Systems Inc.,To continually improve the software that underpins the world's financial systems.The world's leading financial institutions rely on us. 
Costco Wholesale Corporation,To continually provide our members with quality goods and services at the lowest possible prices.
Penn Mutual Life Insurance Co.,"To continue delivering the best advice, services, and solutions to our clients as we strive to become the highest standard of success in financial relationships."
"GNC Holdings, Inc.","To continue to be the leading provider of products, services and information in the self-care and personal health enhancement market. To provide a shopping experience that exceeds our customers' expectations. "
"Maxim Integrated Products, Inc.","To continuously invent high-quality analog engineering solutions that add value to our customers' microprocessor-based electronics worldwide. We have consistently increased our stockholders' equity by meeting our cost and performance goals, minimizing tim"
Towers Watson & Co.,"To contribute to clients success through its unique capabilities and deep expertise in human capital, risk, and financial services."
"Medtronic, Inc.","To contribute to human welfare by the application of biomedical engineering in the research, design, manufacture, and sale of products that alleviate pain, restore health, and extend life."
Harbinger Group Inc.,To create a more efficient marketplace for learning.
Windstream Corporation,"To create a supplier base that reflects the faces of the communities we serve by enabling minority, veteran and women-owned businesses."
CHS Inc.,"To create and operate a comprehensive system to provide healthcare and related services, including education and research opportunities, for the benefit of the people we serve."
"St. Jude Medical, Inc.",To create cost-effective medical technologies that save and improve lives.
"First Solar, Inc.","To create enduring value by enabling a world powered by clean, affordable solar electricity."
Amica Mutual Insurance Co.,To create peace of mind and build enduring relationships.
Halliburton Company,"To create sustainable value by delivering outstanding products, services and Digital Asset solutions that help our customers succeed by: 1. Maximizing production and recovery 2. Realizing reserves from difficult environments 3.  Improving operational efficiency."
Chesapeake Energy Corporation,To create value for investors by building one of the largest onshore natural gas resource bases in the United States.  
World Fuel Services Corporation,To create value for our business partners in energy and transportation by delivering innovative solutions and logistics through a global team of local professionals.
Vornado Realty Trust,To create value for shareholders by growing our asset base through the addition of carefully selected properties and by adding value through intensive and efficient management.
"Varian Medical Systems, Inc.","To create, acquire, and manage bold new breakthrough technologies that will further advance medical diagnosis and treatment."
"Autoliv, Inc.","To create, manufacture and sell state-of-the-art automotive safety systems."
Cognizant Technology Solutions Corporation,"To dedicate our business process and technology innovation know-how, our deep industry expertise and worldwide resources to working together with clients to make their businesses stronger."
Anadarko Petroleum Corporation,"To deliver a competitive and sustainable rate of return to shareholders by developing, acquiring and exploring for oil and gas resources vital to the world's health and welfare."
"The TJX Companies, Inc.","To deliver a rapidly changing assortment of quality, brand name merchandise at prices that are 2 - 6% less than department and specialty store regular prices, every day."
"Weis Markets, Inc.","To deliver an exceptional shopping experience by offering the best service, value, quality, and freshest products while being good stewards of our environment and giving back to the communities we serve."
United Technologies Corporation,"To deliver continuous market leadership for the brands we represent in Retail, FMCG and Electrical Appliances by providing Outstanding Customer Satisfaction."
Jones Lang LaSalle Incorporated,"To deliver exceptional strategic, fully-integrated services, best practices and innovative solutions for real estate owners, occupiers, developers and investors worldwide."
Entergy Corporation,"To deliver safe, reliable and affordable electricity on behalf of our owners and stakeholders."
"Consolidated Edison, Inc.","To deliver shareholder value by focusing on what we do best - providing safe, reliable energy to our millions of customers in the Northeast."
The Wendy's Company,"To deliver superior quality products and services for our customers and communities through leadership, innovation and partnerships."
"Buckeye Partners, L.P.","To deliver superior returns to our investors through our talented, valued employees and our core strengths of: 1. An unwavering commitment to safety, environmental responsibility, regulatory compliance, and personal integrity. 2. Best-in-class customer service and sophisticated commercial operations Operational excellence that provides consistent, reliable performance at the lowest reasonable cost 3.An entrepreneurial approach toward logistical solutions to profitably expand and optimize Buckeye’s portfolio of global energy assets. 4.A commitment to consistent execution and the continuous improvement of our operations, projects and people."
Alliant Energy Corporation,"To deliver the energy and exceptional service that our customers and communities count on - safely, efficiently and responsibly."
Masco Corporation,"To deliver unique value to our customers, and profits to our companies, through innovative building product solutions, sequentially integrated logistics and installation services throughout North America."
"Werner Enterprises, Inc.","To deliver value to our customers, business partners and shareholders through leading edge global supply chain solutions that exceed expectations and promote safety while we remain customer focused and asset-backed."
Southwest Gas Corporation,"To develop and assist with the outreach to and inclusion of Diverse Suppliers (minority, women, and disabled veteran business enterprises) into the Company’s database of suppliers and contractors; to ensure consideration for contracting and purchasing opportunities. To support the Company’s growth, economic development and vitality in our service territories, including Diverse Suppliers participating in growth and serving the customers."
"Micron Technology, Inc.","To develop effective programs promoting math, science, and engineering education; and support activities addressing the priorities and concerns of our site communities."
"Air Products & Chemicals, Inc.","To develop lasting relationships with our customers and communities based on human qualities: an understanding of their needs, integrity and honesty in the way we do business, and a passion for exceeding expectations."
"Gilead Sciences, Inc.","To discover, develop and commercialize therapeutics that advance patient care, while challenging employees to make a difference and building a thriving worldwide enterprise."
Bristol-Myers Squibb Company,"To discover, develop and deliver innovative medicines that help patients prevail over serious diseases."
"Flowers Foods, Inc.","To drive sustainable growth that enhances value for our shareholders, associates, distributors, customers, consumers, and communities."
Cooper Tire & Rubber Company,"To earn money for its shareholders and increase the value of their investment. We will do that through growing the company, controlling assets and properly structuring the balance sheet, thereby increasing EPS, cash flow, and return on invested capital."
"Bemis Company, Inc.","To empower diverse ethnic minority organisations and to promote their active participation in civic life and policy development both at a community, national and international (EU) levels."
Alere Inc.,To empower individuals to take greater control of their health under the supervision of their healthcare providers.
"Fiserv, Inc.","To empower our clients with proven technology solutions to exceed their expectations, anticipate what they will need tomorrow, and enable best-in-class results."
Caterpillar Inc.,"To enable economic growth through infrastructure and energy development, and to provide solutions that support communities and protect the planet."
Scholastic Corporation,"To encourage the intellectual and personal growth of all children, beginning with literacy, the cornerstone of all learning. With more than 9 years of experience supporting the learning lives of children, today Scholastic remains committed to providing qu"
Cytec Industries Inc.,"To enhance shareholder value based on our vision and values. This in turn will lead to double-digit percentage growth in earnings per share, and a superior return on equity."
Concho Resources Inc.,"To enhance stockholder value through profitably increasing reserves, production and cash flow."
Comerica Incorporated,"To enhance the success of communities where Comerica does business through grant making, partnerships and volunteer resources."
Norfolk Southern Corporation,"To enhance the value of our stockholders' investment over time by providing quality freight transportation services and undertaking any other related businesses in which our resources, particularly our people, give the company an advantage."
"NBTY, Inc.","To enhance the well-being of our customers globally by delivering the highest quality, best value nutritional supplements and wellness products."
Baker Hughes Incorporated,"To enhance value for shareholders, customers and employees. For shareholders, this means breakthrough earnings performance. For customers, it means lowering their costs - and maximizing cash flows and profits - through technology, productivity and safety."
"Gannett Co., Inc.","To enrich lives by informing and inspiring consumers, by providing the ease and accessibility to connect them with their communities of interest, and by being a catalyst for the conversations that are making a difference every day. To help clients succeed through our unparalleled local-to-international portfolio of trusted brands, our ability to provide integrated marketing solutions, and our insight into consumer behavior. To lead the transformation of the media and marketing solutions industries."
SanDisk Corporation,"To enrich people's lives through digital storage anytime, anywhere."
Johnson & Johnson,"To ensure exceptional consumer care experiences that strengthen trust and loyalty, and contribute insights that drive growth."
"Raymond James Financial, Inc.","To ensure the success of the firm, its associates and clients by our commitment to maintaining the highest ethical and regulatory standards."
"Penn National Gaming, Inc.","To establish Penn National Gaming as a profitable and respected leader in the gaming and racing industries, and as a valued partner in our communities and a role model for ethical business standards."
"Republic Services, Inc.","To establish Republic Services as a company where the best people come to work, devoted to meeting the needs of our customers every day. To consistently operate and vigorously grow our business and operate the business with integrity and a commitment to the “Republic Way.” To deliver total waste stream solutions and provide environmental confidence for Republic’s customers, while doing our part in stewardship of our planet's resources. To create sustainable economic value for all Republic stakeholders."
"United Natural Foods, Inc.","To exceed the needs and expectations of all our stakeholders: our customers, associates, natural and specialty product consumers, suppliers, shareholders, communities, the environment and the planet."
ABM Industries Incorporated,"To excel in all that we do for our customers, stockholders and employees by expanding our family of services through continuous improvement in the total quality of our services, competitiveness, accident prevention and complete customer satisfaction."
"Neiman Marcus, Inc.","To excel in each aspect of our business - merchandise, customer service and marketing. We strive to be the best luxury and fashion retailer. We will continue to innovate, adapt and engage our customers so that they can shop with us anytime, anywhere ."
AT&T Inc.,To exploit technical innovations for the benefit of AT&T and its customers by implementing next-generation technologies and network advancements in AT&T's services and operations.
United Services Automobile Association,"To facilitate the financial security of its members, associates, and their families through provision of a full range of highly competitive financial products and services; in so doing, USAA seeks to be the provider of choice for the military community."
NiSource Inc.,"To foster and advance an inclusive environment, creating a culture of acceptance and  accountability that recognizes, values and celebrates differences among our employees, customers and communities."
"CC Media Holdings, Inc.",To galvanize local radio and outdoor resources to educate and inspire residents to make a difference within their own communities.
Ameren Corporation,"To generate electricity, deliver electricity and distribute natural gas in a safe, reliable, efficient and environmentally sound manner."
"Facebook, Inc.",To give people the power to share and make the world more open and connected.
Apache Corporation,To grow a profitable global exploration and production company in a safe and environmentally responsible manner for the long-term benefit of our shareholders.
Sears Holdings Corporation,"To grow our business by providing quality products and services at great value when and where our customers want them, and by building positive, lasting relationships with our customers"
"Becton, Dickinson and Company","To help all people live healthy lives. Goal: Become the organization most known for eliminating unnecessary suffering and death from disease, and in so doing, become one of the best performing companies in the world."
