	Mahou	Cruzcampo	Heineken	Estrella	San-Miguel	Carlsberg	Coronita	Amstel	Bud	Voll-Damm
A1_P5_993	1	1	1	10	1	5	1	1	7	8
A5_P8_994	1	1	5	1	1	4	1	1	1	4
A2_P1_995	1	2	10	5	9	1	8	10	4	3
A6_P9_996	3	10	10	1	10	6	8	2	10	1
A2_P2_997	7	1	10	1	1	7	7	1	1	4
A5_P4_998	5	6	8	2	1	10	4	5	5	5
A2_P4_999	8	2	8	5	2	10	10	4	10	10
A2_P3_1000	6	7	10	6	9	7	5	8	9	8
A1_P9_1001	8	10	1	1	1	1	1	1	1	1
A5_P6_1002	5	5	10	5	5	10	1	10	1	1
A6_P1_1003	1	1	8	1	9	8	8	1	8	7
A5_P2_1004	6	1	7	6	3	3	6	1	1	1
A1_P1_1005	1	6	9	6	6	5	10	6	8	8
A6_P6_1006	6	6	6	6	6	6	1	6	1	1
A4_P9_1007	8	10	5	5	10	4	5	5	4	1
A4_P1_1008	1	1	8	1	8	1	6	1	1	4
A4_P2_1009	10	5	8	5	8	8	10	5	9	10
A5_P4_1010	1	8	8	1	1	8	9	1	7	6
A4_P2_1011	10	9	8	5	6	8	10	4	5	4
A1_P7_1012	7	7	5	5	3	5	1	5	1	7
A6_P6_1013	10	8	8	10	10	5	5	5	1	1
A2_P6_1014	7	9	8	6	9	3	5	7	3	1
A1_P4_1015	4	3	9	5	3	2	3	9	3	5
A2_P8_1016	9	9	10	9	9	7	10	9	1	10
A1_P7_1017	1	1	1	10	8	1	1	7	1	10
A3_P6_1018	9	10	10	8	10	10	10	9	8	8
A4_P6_1019	5	5	5	1	5	5	1	5	1	1
A2_P4_1020	7	4	9	3	6	6	7	8	8	7
A4_P2_1021	10	1	10	1	1	1	10	1	10	1
A3_P8_1022	10	1	7	9	7	10	4	1	1	10
A2_P7_1023	10	1	6	10	1	4	4	1	3	7
A6_P4_1024	1	1	8	1	1	1	1	1	1	1
A4_P2_1025	7	1	6	1	1	1	1	1	1	1
A3_P4_1026	10	10	10	10	1	10	10	1	9	10
A2_P3_1027	1	1	1	2	10	1	1	9	1	7
A3_P7_1028	9	10	10	9	9	10	1	9	9	9
A6_P3_1029	1	1	10	1	8	1	1	1	1	1
A2_P6_1030	8	10	10	1	8	10	1	10	1	1
A3_P8_1031	1	10	10	1	10	7	1	1	5	10
A1_P5_1032	1	1	9	9	1	1	4	1	1	10
A1_P4_1033	1	1	8	4	1	2	2	6	10	5
A4_P5_1034	10	1	6	10	1	1	7	1	1	9
A2_P5_1035	10	8	9	10	1	8	8	1	9	10
A4_P4_1036	1	1	10	1	1	1	1	1	1	1
A4_P6_1037	10	1	5	1	5	5	1	7	1	1
A1_P5_1038	1	1	1	10	1	9	8	1	1	1
A4_P2_1039	10	5	7	1	7	1	7	3	1	1
A4_P6_1040	10	8	9	10	8	7	1	8	4	4
A1_P3_1041	1	1	10	10	10	10	1	1	1	1
A2_P6_1042	9	8	10	7	9	6	4	9	5	1
A1_P5_1043	6	6	5	10	8	1	7	1	3	10
A2_P4_1044	4	8	9	2	3	7	10	5	6	1
A2_P3_1045	8	1	5	1	10	1	5	7	1	5
A2_P6_1046	10	7	8	1	7	7	1	7	2	1
A2_P6_1047	9	10	6	8	2	3	4	8	1	1
A3_P7_1048	10	10	1	8	8	1	1	8	1	1
A1_P1_1049	1	1	9	9	9	9	10	1	9	1
A4_P2_1050	10	1	9	1	1	7	8	1	8	8
A2_P7_1051	9	6	7	8	5	9	5	10	9	10
A1_P5_1052	7	6	9	9	9	6	10	7	6	8
A2_P2_1053	10	5	4	6	6	9	5	3	10	6
A3_P1_1054	4	7	7	7	8	8	9	3	8	7
A6_P3_1055	6	1	10	1	10	6	5	5	4	6
A3_P6_1056	9	10	9	8	8	10	8	8	6	5
A3_P9_1057	5	10	5	1	5	1	7	1	1	9
A2_P1_1058	3	1	8	1	1	1	10	7	1	1
A6_P1_1059	1	1	9	1	1	1	8	1	1	1
A3_P2_1060	9	5	1	1	8	9	7	1	1	1
A3_P6_1061	9	10	6	8	9	1	1	5	1	1
A5_P2_1062	7	1	1	1	7	4	6	1	1	3
A4_P6_1063	8	5	8	2	8	5	5	2	2	2
A2_P1_1064	8	8	10	8	8	8	10	8	7	8
A3_P3_1065	8	1	1	5	8	1	1	4	1	1
A5_P3_1066	10	5	8	7	9	9	6	6	5	7
A2_P6_1067	7	8	9	1	9	1	1	8	1	1
A4_P7_1068	8	6	2	8	8	3	2	5	2	3
A4_P2_1069	10	1	1	1	1	1	1	1	1	1
A6_P3_1070	8	1	8	1	5	1	1	1	1	1
A6_P1_1071	1	1	10	1	10	1	10	1	1	1
A6_P7_1072	9	1	10	10	5	1	1	1	1	10
A5_P6_1073	8	8	10	1	9	1	1	1	1	1
A6_P5_1074	5	6	5	7	8	5	10	1	1	6
A6_P9_1075	9	7	5	5	9	5	10	9	5	5
A6_P2_1076	10	1	1	1	5	1	6	1	10	1
A5_P9_1077	5	6	7	2	5	5	7	1	1	1
A6_P2_1078	9	6	7	3	5	1	6	5	7	1
A1_P5_1079	1	1	5	9	2	1	5	1	7	4
A2_P4_1080	6	5	10	1	1	9	5	1	1	1
A3_P4_1081	3	9	9	5	1	9	9	1	6	7
A5_P4_1082	2	3	9	3	2	8	9	1	10	1
A1_P5_1083	1	1	9	9	5	6	1	1	1	10
A2_P9_1084	10	10	10	1	10	1	10	10	10	1
A1_P3_1085	1	1	9	1	10	1	1	1	1	1
A3_P9_1086	5	10	7	3	6	6	9	4	7	7
A5_P9_1087	1	10	10	1	1	1	1	1	1	1
A1_P5_1088	1	1	9	5	1	1	7	1	7	10
A3_P4_1089	1	1	7	1	1	1	1	1	1	1
A1_P5_1090	1	1	1	9	8	1	1	1	1	10
A5_P6_1091	10	6	8	1	10	5	1	7	1	4
A2_P6_1092	7	8	6	1	9	5	7	10	1	1
A6_P3_1093	6	1	4	5	9	8	9	4	1	1
A5_P1_1094	1	1	9	1	1	1	9	1	1	1
A1_P1_1095	5	5	7	6	7	7	10	6	8	10
A3_P4_1096	6	8	6	6	8	10	8	6	10	7
A4_P2_1097	10	5	1	1	1	1	5	1	1	1
A2_P7_1098	10	1	1	1	1	1	1	1	1	7
A1_P1_1099	1	1	7	1	1	1	8	1	8	1
A4_P2_1100	10	2	10	5	9	10	10	4	2	3
A3_P2_1101	10	1	1	1	1	1	1	1	1	1
A3_P8_1102	7	8	1	1	1	9	5	8	1	10
A3_P4_1103	1	1	10	1	1	1	1	1	10	1
A3_P2_1104	9	9	9	1	9	9	9	1	9	9
A4_P4_1105	8	1	9	10	1	9	1	10	8	1
A2_P6_1106	10	8	9	6	10	9	4	10	4	4
A5_P2_1107	7	1	8	2	1	1	8	1	8	1
A5_P6_1108	8	5	5	1	6	5	1	6	1	1
A2_P3_1109	10	1	1	1	9	1	1	9	1	1
A2_P9_1110	1	10	1	5	5	5	1	1	5	5
A3_P3_1111	10	1	10	10	10	1	1	10	10	10
A2_P4_1112	9	8	9	9	5	8	10	8	9	9
A4_P2_1113	7	5	5	5	5	5	6	5	6	5
A4_P7_1114	10	5	8	7	4	7	2	4	7	7
A3_P9_1115	1	10	8	1	1	1	5	1	1	1
A5_P8_1116	4	9	9	6	4	3	5	1	2	7
A2_P3_1117	1	1	1	1	3	1	1	2	1	1
A2_P2_1118	9	1	9	1	9	9	9	9	1	1
A2_P1_1119	10	1	10	6	8	10	10	1	10	10
A2_P1_1120	1	1	10	1	1	9	9	1	1	1
A2_P6_1121	7	7	10	6	1	10	1	7	1	1
A3_P6_1122	5	5	5	1	1	1	1	1	1	1
A6_P2_1123	7	7	10	1	6	1	10	6	1	8
